epoch,phase,loss,accuracy
0,train,1.1679,0.676
0,val,0.4218,0.8759
1,val,0.6786,0.8003
1,train,0.6053,0.8154
2,train,0.7916,0.7677
2,val,0.4469,0.8633
3,val,0.5804,0.8292
3,train,0.5957,0.8192
4,train,0.7236,0.7845
4,val,0.4233,0.8742
5,val,0.5331,0.8389
5,train,0.5861,0.8205
6,train,0.6914,0.7932
6,val,0.4105,0.8769
7,val,0.4678,0.8575
7,train,0.5738,0.8265
8,val,0.3938,0.8805
8,train,0.6525,0.8027
9,val,0.4894,0.8455
9,train,0.562,0.8297
10,val,0.4124,0.8747
10,train,0.6425,0.8074
11,train,0.5619,0.8273
11,val,0.4635,0.8595
12,val,0.4019,0.8831
12,train,0.6274,0.8127
13,train,0.5625,0.8286
13,val,0.4555,0.8631
14,train,0.612,0.8133
14,val,0.3983,0.8801
