epoch,phase,loss,accuracy
0,train,0.8063,0.7692
0,val,0.1383,0.9569
1,val,0.3476,0.8916
1,train,0.1491,0.9513
2,train,0.3441,0.8918
2,val,0.1174,0.9621
3,val,0.2255,0.9277
3,train,0.1382,0.9551
4,train,0.2698,0.9141
4,val,0.1205,0.9614
5,val,0.193,0.9373
5,train,0.1321,0.9569
6,train,0.2275,0.9261
6,val,0.1215,0.9606
7,val,0.1901,0.9392
7,train,0.1271,0.9583
8,val,0.1141,0.9645
8,train,0.2039,0.9338
9,val,0.1801,0.9417
9,train,0.1205,0.9604
10,val,0.1104,0.9656
10,train,0.1839,0.9402
11,train,0.1176,0.9611
11,val,0.1362,0.9582
12,val,0.1087,0.9655
12,train,0.1723,0.9426
13,train,0.1127,0.9628
13,val,0.1515,0.9508
14,train,0.155,0.9488
14,val,0.1144,0.9616
