epoch,phase,loss,accuracy
0,train,2.1487,0.4818
0,val,0.429,0.8919
1,val,1.4209,0.6925
1,train,0.4193,0.8924
2,train,1.1538,0.7548
2,val,0.3914,0.8995
3,val,0.9239,0.8094
3,train,0.3927,0.8997
4,train,0.8319,0.8237
4,val,0.3776,0.8988
5,val,0.7197,0.8442
5,train,0.384,0.9
6,train,0.674,0.8494
6,val,0.3733,0.9025
7,val,0.6129,0.8634
7,train,0.3579,0.9057
8,val,0.351,0.9079
8,train,0.5891,0.8644
9,val,0.5237,0.8795
9,train,0.3437,0.9098
10,val,0.3365,0.911
10,train,0.5206,0.8762
11,train,0.3395,0.9095
11,val,0.4832,0.884
12,val,0.3267,0.9117
12,train,0.4801,0.8826
13,train,0.3267,0.9123
13,val,0.4407,0.8931
14,train,0.439,0.892
14,val,0.326,0.9117
