epoch,phase,loss,accuracy
0,train,1.289,0.643
0,val,0.4635,0.8646
1,val,0.6045,0.8249
1,train,0.7919,0.7663
2,train,0.9397,0.7275
2,val,0.4484,0.8672
3,val,0.5324,0.8436
3,train,0.7967,0.7672
4,train,0.8789,0.7455
4,val,0.4444,0.8681
5,val,0.4939,0.855
5,train,0.7877,0.7706
6,train,0.8503,0.7529
6,val,0.4174,0.8746
7,val,0.4869,0.8572
7,train,0.8056,0.7653
8,val,0.459,0.8693
8,train,0.8351,0.7582
9,val,0.4596,0.8608
9,train,0.7975,0.7682
10,val,0.4549,0.8653
10,train,0.8224,0.7584
11,train,0.7841,0.7707
11,val,0.4459,0.8675
12,val,0.4682,0.8664
12,train,0.8222,0.7612
13,train,0.785,0.771
13,val,0.4616,0.8621
14,train,0.8015,0.7657
14,val,0.4914,0.8526
