epoch,phase,loss,accuracy
0,train,1.2229,0.6635
0,val,0.3687,0.8888
1,val,0.4935,0.8592
1,train,0.6897,0.7983
2,train,0.8422,0.7553
2,val,0.387,0.8822
3,val,0.4447,0.8696
3,train,0.6952,0.7965
4,train,0.7802,0.7736
4,val,0.3871,0.8818
5,val,0.4333,0.8672
5,train,0.6959,0.7946
6,train,0.7503,0.7794
6,val,0.4007,0.8806
7,val,0.3882,0.8856
7,train,0.6786,0.7997
8,val,0.3796,0.8907
8,train,0.7294,0.7869
9,val,0.4343,0.8688
9,train,0.6771,0.7996
10,val,0.4016,0.8786
10,train,0.7268,0.7887
11,train,0.6855,0.801
11,val,0.394,0.8826
12,val,0.3835,0.8861
12,train,0.7108,0.7925
13,train,0.6703,0.8028
13,val,0.425,0.8734
14,train,0.7012,0.7943
14,val,0.3698,0.8902
