epoch,phase,loss,accuracy
0,train,1.402,0.6759
0,val,0.1026,0.971
1,val,0.5476,0.8715
1,train,0.1036,0.9709
2,train,0.4082,0.9026
2,val,0.0995,0.9686
3,val,0.2859,0.9297
3,train,0.0962,0.9732
4,train,0.2525,0.937
4,val,0.0922,0.9731
5,val,0.2066,0.9479
5,train,0.0894,0.9741
6,train,0.193,0.9501
6,val,0.0848,0.9742
7,val,0.1692,0.9548
7,train,0.0843,0.9759
8,val,0.0825,0.9759
8,train,0.1641,0.9552
9,val,0.1465,0.9591
9,train,0.0826,0.9755
10,val,0.0785,0.9769
10,train,0.1384,0.9618
11,train,0.0749,0.9778
11,val,0.1252,0.9663
12,val,0.0768,0.9775
12,train,0.1252,0.9654
13,train,0.0687,0.9797
13,val,0.1125,0.9675
14,train,0.1146,0.9673
14,val,0.07,0.9775
