epoch,phase,loss,accuracy
0,train,1.6402,0.5634
0,val,0.7626,0.8206
1,val,0.9757,0.7189
1,train,0.7812,0.767
2,train,1.0674,0.6957
2,val,0.767,0.838
3,val,0.7937,0.7775
3,train,0.7643,0.7732
4,train,0.9585,0.7206
4,val,0.7732,0.8288
5,val,0.7168,0.7953
5,train,0.7618,0.7699
6,train,0.896,0.7368
6,val,0.7699,0.832
7,val,0.6756,0.8066
7,train,0.7457,0.7762
8,val,0.7762,0.8337
8,train,0.8533,0.7478
9,val,0.664,0.8031
9,train,0.7329,0.7781
10,val,0.7781,0.8357
10,train,0.8325,0.7523
11,train,0.7401,0.7797
11,val,0.7523,0.8163
12,val,0.7797,0.8411
12,train,0.8085,0.7614
13,train,0.7265,0.7812
13,val,0.7614,0.8195
14,train,0.8004,0.7626
14,val,0.7812,0.8426
