epoch,phase,loss,accuracy
0,train,1.2427,0.6566
0,val,0.6015,0.8304
1,val,0.6711,0.7969
1,train,1.0456,0.7486
2,train,1.1103,0.7071
2,val,0.5501,0.8382
3,val,0.715,0.797
3,train,1.08,0.7445
4,train,1.0911,0.7247
4,val,0.5569,0.8442
5,val,0.5763,0.8252
5,train,1.0879,0.7447
6,train,1.0823,0.7298
6,val,0.5623,0.8393
7,val,0.6467,0.8125
7,train,1.064,0.7493
8,val,0.5343,0.8493
8,train,1.08,0.734
9,val,0.5968,0.8283
9,train,1.0666,0.7494
10,val,0.6003,0.8336
10,train,1.0803,0.7378
11,train,1.0626,0.7535
11,val,0.5773,0.831
12,val,0.5437,0.8449
12,train,1.0628,0.7395
13,train,1.0601,0.7526
13,val,0.577,0.834
14,train,1.0777,0.7396
14,val,0.5338,0.8481
