epoch,phase,loss,accuracy
0,train,1.2342,0.6601
0,val,0.4332,0.8736
1,val,0.676,0.8085
1,train,0.6153,0.8097
2,train,0.823,0.7594
2,val,0.4276,0.8734
3,val,0.5658,0.8372
3,train,0.6169,0.8121
4,train,0.7465,0.7783
4,val,0.4366,0.8722
5,val,0.5275,0.8442
5,train,0.6035,0.8151
6,train,0.7103,0.7887
6,val,0.4252,0.8782
7,val,0.5,0.8563
7,train,0.5927,0.8173
8,val,0.4149,0.8774
8,train,0.678,0.7955
9,val,0.4689,0.8649
9,train,0.5961,0.8163
10,val,0.4177,0.8789
10,train,0.6621,0.7987
11,train,0.5873,0.8171
11,val,0.4711,0.858
12,val,0.4024,0.8817
12,train,0.6461,0.8027
13,train,0.5785,0.8231
13,val,0.449,0.8668
14,train,0.6372,0.8077
14,val,0.4179,0.8783
